T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
213,212.9657516,-0.024491463,0.001,48.79661308,-47.7159279,22.34430625,-22.29327066,49.20433635,-46.43157247,23.14957086,-21.67146106
212,211.9652344,-0.067759716,0.001,48.70481662,-47.57320757,22.33411374,-22.25248616,48.73544182,-46.04418773,23.07820262,-21.44717585
211,210.9649994,-0.037553577,0.001,48.64369858,-47.36939215,22.31371062,-22.14036943,48.91892331,-46.13593641,22.92532146,-21.50835946
210,209.964949,-0.059595894,0.001,48.46023008,-47.29800445,22.31372204,-22.17094432,48.57232864,-45.9728383,23.00686613,-21.49816516
209,208.964196,-0.037553576,0.001,48.11362373,-46.98199676,22.17100998,-21.99766246,48.725275,-45.9321107,22.79279453,-21.18215893
208,207.9652092,-0.026940609,0.001,48.16456742,-46.80872038,22.19138584,-21.87534322,48.39905198,-45.5039698,22.88455099,-21.273904
207,206.9641144,-0.044084633,0.001,48.16456484,-46.78835384,22.00792367,-22.04863401,48.31747286,-45.198116,22.71126327,-21.13121581
206,205.9648788,-0.048166545,0.001,47.79764397,-46.59463558,21.97731887,-21.71225937,48.02192853,-45.1165323,22.80298618,-21.0292532
205,204.9648247,-0.032655284,0.001,47.76707712,-46.60489585,21.96715108,-21.76321097,48.42959776,-44.739366,22.60932514,-21.00888477
204,203.9647224,-0.059595894,0.001,47.54273806,-46.19711034,22.06906216,-21.82436467,48.0932281,-44.6171366,22.73163718,-20.94771805
203,202.9649132,-0.033471666,0.001,47.49183119,-46.07483058,21.80405892,-21.65108256,47.87916962,-44.729239,22.63989327,-20.85598026
202,201.9652954,-0.052248455,0.001,47.27775075,-45.96265806,21.7632617,-21.55933295,47.63451934,-44.3316732,22.51756894,-20.7132703
201,200.965136,-0.048982927,0.001,47.16561731,-45.73835832,21.80403354,-21.38602152,47.48163525,-44.0258339,22.59913262,-20.65209694
200,199.9654068,-0.043268252,0.001,47.00253494,-45.442772,21.539014,-21.36565871,47.80779047,-44.4132707,22.33407917,-20.38707558
199,198.9655312,-0.040002723,0.001,47.10448098,-45.47329245,21.5797691,-21.41661936,47.34909657,-43.9748994,22.32388946,-20.33608864
198,197.9653198,-0.036737195,0.001,46.81905186,-45.15733165,21.48802751,-21.30451951,47.20638452,-43.6283369,22.27291258,-20.32591156
197,196.9652382,-0.044901015,0.001,46.62536413,-45.14713831,21.477854,-21.19236801,46.84959521,-43.4958073,22.15058463,-20.3769037
196,195.9647163,-0.040002723,0.001,46.57439066,-45.00444475,21.39628129,-21.19239023,47.23696129,-43.0676875,22.18118046,-20.183195
195,194.9647743,-0.053881221,0.001,46.28894546,-44.80058189,21.41668524,-21.01908444,46.70689378,-43.2919636,22.23215289,-20.08125017
194,193.9645439,-0.066943333,0.001,46.11566803,-44.72926875,21.19242445,-20.92733316,46.533591,-42.6395566,21.96711523,-19.85700621
193,192.9642151,-0.035920813,0.001,45.96277575,-44.61707484,21.29435645,-20.90694632,46.5030065,-42.4152599,21.83460265,-19.94876018
192,191.9651955,-0.044084634,0.001,45.95255743,-44.26032772,21.05993201,-20.85598269,46.3195164,-42.578359,22.15059015,-19.96913759
191,190.9635818,-0.085720122,0.001,45.86082697,-44.34190091,21.01915425,-20.72347241,46.1869981,-42.2318372,21.8244106,-19.56140238
190,189.964579,-0.039186341,0.001,45.6671566,-44.05642509,21.02933184,-20.62152802,46.2278092,-42.3847122,22.07923782,-19.79584126
189,188.9640106,-0.03102252,0.001,45.56520333,-43.77102446,20.99873613,-20.70307313,46.2787329,-41.8954191,21.83459198,-19.4594471
188,187.9638123,-0.067759715,0.001,45.88123078,-43.35305563,20.96817095,-20.50939409,46.2889499,-41.5080695,21.90593307,-19.13327428
187,186.9644188,-0.039186341,0.001,45.49386309,-43.28173339,20.85602795,-20.38707134,46.0035032,-39.8057612,22.25251907,-19.17405383
186,185.9638451,-0.034288048,0.001,45.24921213,-43.05745446,20.75410595,-20.20358908,46.2991323,-40.876076,21.95690894,-19.01094072
